time,source,location,id,username,language,favorite_count,retweet_count,followers_count,statuses_count,friends_count,text,remove_user,cleaning,tokenisasi,stopword_removal
10/23/2022 9:50,Twitter for Android,,1.58412e+18,50 thn keats..,in,0,0,299,7020,97,b'@syarman59 kl tmn2 nya ijazah nya pd asli..lha kl jokowi..\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94',b' kl tmn2 nya ijazah nya pd asli..lha kl jokowi..\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94', tmn nya ijazah nya asli lha jokowi ,"['', 'tmn', 'nya', 'ijazah', 'nya', 'asli', 'lha', 'jokowi', '']", tmn nya ijazah nya asli lha jokowi 
10/23/2022 9:50,Twitter for Android,jakarta,1.58412e+18,Riduan,in,0,0,10,564,156,"b'@jokowi beliau sih bagus menurut saya,yang saya tidak suka cuma kenaikan bbm aja ,apa2 mahal itu aja,klw kerjanya beliau mantab'","b' beliau sih bagus menurut saya,yang saya tidak suka cuma kenaikan bbm aja ,apa2 mahal itu aja,klw kerjanya beliau mantab'", beliau sih bagus menurut saya yang saya tidak suka cuma kenaikan bbm aja apa mahal itu aja klw kerjanya beliau mantab ,"['', 'beliau', 'sih', 'bagus', 'menurut', 'saya', 'yang', 'saya', 'tidak', 'suka', 'cuma', 'kenaikan', 'bbm', 'aja', 'apa', 'mahal', 'itu', 'aja', 'klw', 'kerjanya', 'beliau', 'mantab', '']", beliau sih bagus suka kenaikan bbm aja mahal aja klw kerjanya beliau mantab 
10/23/2022 9:50,Twitter for Android,,1.58412e+18,Andre Sinurat,in,0,0,1,111,0,b'@nawang991 @ivonedarm @idris_072 @detikcom politik identitas??? apakah jokowi yg wakil nya seorang ulama ketua mui bukan memakai politik identitasa???? serius nanya',b'    politik identitas??? apakah jokowi yg wakil nya seorang ulama ketua mui bukan memakai politik identitasa???? serius nanya', politik identitas apakah jokowi wakil nya seorang ulama ketua mui bukan memakai politik identitasa serius nanya ,"['', 'politik', 'identitas', 'apakah', 'jokowi', 'wakil', 'nya', 'seorang', 'ulama', 'ketua', 'mui', 'bukan', 'memakai', 'politik', 'identitasa', 'serius', 'nanya', '']", politik identitas jokowi wakil nya ulama ketua mui memakai politik identitasa serius nanya 
10/23/2022 9:50,Twitter for Android,"Jakarta Barat, DKI Jakarta",1.58412e+18,Radio Sonora Jakarta,in,0,0,315814,828252,145,"b'16.49 #beritasonora - jokowi tak peluk surya paloh, sekjen pdip: yang suka peluk itu surya paloh dengan anies baswedan https://t.co/33cw923fiq via @kompastv'","b'16.49 #beritasonora - jokowi tak peluk surya paloh, sekjen pdip: yang suka peluk itu surya paloh dengan anies baswedan https://t.co/33cw923fiq via '", beritasonora jokowi tak peluk surya paloh sekjen pdip yang suka peluk itu surya paloh dengan anies baswedan via ,"['', 'beritasonora', 'jokowi', 'tak', 'peluk', 'surya', 'paloh', 'sekjen', 'pdip', 'yang', 'suka', 'peluk', 'itu', 'surya', 'paloh', 'dengan', 'anies', 'baswedan', 'via', '']", beritasonora jokowi peluk surya paloh sekjen pdip suka peluk surya paloh anies baswedan via 
10/23/2022 9:50,Twitter for Android,Indonesia,1.58412e+18,TOLAK POLITIK IDENTITAS/AGAMA,in,0,0,168,7624,156,b'bicara adab..? bicara etika..?\nbuka topengmu kawan... ,b'bicara adab..? bicara etika..?\nbuka topengmu kawan... , bicara adab bicara etika nbuka topengmu kawan ,"['', 'bicara', 'adab', 'bicara', 'etika', 'nbuka', 'topengmu', 'kawan', '']", bicara adab bicara etika nbuka topengmu kawan 
10/23/2022 9:50,dlvr.it,"West Sumatra, Indonesia",1.58412e+18,Harian Haluan,in,0,0,131593,178528,20479,b'sindir jokowi? surya paloh: nasdem tak semborono pilih anies baswedan https://t.co/ejuzgyx8wo',b'sindir jokowi? surya paloh: nasdem tak semborono pilih anies baswedan https://t.co/ejuzgyx8wo', sindir jokowi surya paloh nasdem tak semborono pilih anies baswedan ,"['', 'sindir', 'jokowi', 'surya', 'paloh', 'nasdem', 'tak', 'semborono', 'pilih', 'anies', 'baswedan', '']", sindir jokowi surya paloh nasdem semborono pilih anies baswedan 
10/23/2022 9:50,Twitter for Android,indonesia,1.58412e+18,Usuludin,in,1,0,5891,1838,1938,"b'@husinshihab @alpacin22404216 @jokowi sihab, sampai kapan anda terus hidup begini hati2, sekali lagi hati\xc2\xb3 https://t.co/bu7gqsygsf'","b'   sihab, sampai kapan anda terus hidup begini hati2, sekali lagi hati\xc2\xb3 https://t.co/bu7gqsygsf'", sihab sampai kapan anda terus hidup begini hati sekali lagi hati ,"['', 'sihab', 'sampai', 'kapan', 'anda', 'terus', 'hidup', 'begini', 'hati', 'sekali', 'lagi', 'hati', '']", sihab hidup hati hati 
10/23/2022 9:50,Twitter for Android,"Kalimantan Tengah, Indonesia",1.58412e+18,Magdalena,in,1,0,16,259,111,b'terimakasih pak jokowi untuk blt bbm yang diberikan kepada masyarakat yang membutuhkan. kalimantan tengah\n#bltbbmbantumasyarakat\n#bansosbbmringankanrakyat\n#kpmpenyaluranblttepatsasaran\n#sukseskankebijakanpemerintah\n#subsidiberkeadilanuntukmasadepan https://t.co/d88x6ms1ge',b'terimakasih pak jokowi untuk blt bbm yang diberikan kepada masyarakat yang membutuhkan. kalimantan tengah\n#bltbbmbantumasyarakat\n#bansosbbmringankanrakyat\n#kpmpenyaluranblttepatsasaran\n#sukseskankebijakanpemerintah\n#subsidiberkeadilanuntukmasadepan https://t.co/d88x6ms1ge', terimakasih pak jokowi untuk blt bbm yang diberikan kepada masyarakat yang membutuhkan kalimantan tengah bltbbmbantumasyarakat bansosbbmringankanrakyat kpmpenyaluranblttepatsasaran sukseskankebijakanpemerintah subsidiberkeadilanuntukmasadepan ,"['', 'terimakasih', 'pak', 'jokowi', 'untuk', 'blt', 'bbm', 'yang', 'diberikan', 'kepada', 'masyarakat', 'yang', 'membutuhkan', 'kalimantan', 'tengah', 'bltbbmbantumasyarakat', 'bansosbbmringankanrakyat', 'kpmpenyaluranblttepatsasaran', 'sukseskankebijakanpemerintah', 'subsidiberkeadilanuntukmasadepan', '']", terimakasih jokowi blt bbm masyarakat membutuhkan kalimantan bltbbmbantumasyarakat bansosbbmringankanrakyat kpmpenyaluranblttepatsasaran sukseskankebijakanpemerintah subsidiberkeadilanuntukmasadepan 
10/23/2022 9:50,Twitter for Android,,1.58412e+18,Tony Green,in,0,0,374,3582,531,b'@nkri_jokowisyoo udah gak ada bahan.bentar lagi surat nikah palsu ujung ujungnya turunkan jokowi.khadrun khadrun https://t.co/pblt2vhd3x',b' udah gak ada bahan.bentar lagi surat nikah palsu ujung ujungnya turunkan jokowi.khadrun khadrun https://t.co/pblt2vhd3x', udah gak ada bahan bentar lagi surat nikah palsu ujung ujungnya turunkan jokowi khadrun khadrun ,"['', 'udah', 'gak', 'ada', 'bahan', 'bentar', 'lagi', 'surat', 'nikah', 'palsu', 'ujung', 'ujungnya', 'turunkan', 'jokowi', 'khadrun', 'khadrun', '']", udah gak bahan bentar surat nikah palsu ujung ujungnya turunkan jokowi khadrun khadrun 
10/23/2022 9:50,Twitter for Android,"Kota Surabaya, Jawa Timur",1.58412e+18,â’·. â“â“Šâ’¼ðŸ…ˆ ðŸ‡®ðŸ‡©â¤ï¸ðŸ‡®ðŸ‡©,in,0,0,3529,53240,4997,b'@alegiggle @abu_waras @nasdem @jokowi \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n\nmember kaliii',b'    \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n\nmember kaliii', nmember kalii ,"['', 'nmember', 'kalii', '']", nmember kalii 
10/23/2022 9:49,Twitter for Android,,1.58412e+18,Pras_manan,in,0,0,694,51087,850,b'@kipanyadap @jokowi maksudnya diskon pajak 350% apaan? pajak korporasi ditanggung pajak rakyat gt?',b'  maksudnya diskon pajak 350% apaan? pajak korporasi ditanggung pajak rakyat gt?', maksudnya diskon pajak apaan pajak korporasi ditanggung pajak rakyat ,"['', 'maksudnya', 'diskon', 'pajak', 'apaan', 'pajak', 'korporasi', 'ditanggung', 'pajak', 'rakyat', '']", maksudnya diskon pajak pajak korporasi ditanggung pajak rakyat 
10/23/2022 9:49,Twitter for Android,,1.58412e+18,Aniesologi,in,0,0,1674,623,1838,b'jokowi disebut planga plongo ribuan kali ga kenapa kenapa tuh\n\nbegitu jokowi menyebut sembrono 1x saja semua kelojotan dan blingsatan',b'jokowi disebut planga plongo ribuan kali ga kenapa kenapa tuh\n\nbegitu jokowi menyebut sembrono 1x saja semua kelojotan dan blingsatan', jokowi disebut planga plongo ribuan kali kenapa kenapa tuh nbegitu jokowi menyebut sembrono saja semua kelojotan dan blingsatan ,"['', 'jokowi', 'disebut', 'planga', 'plongo', 'ribuan', 'kali', 'kenapa', 'kenapa', 'tuh', 'nbegitu', 'jokowi', 'menyebut', 'sembrono', 'saja', 'semua', 'kelojotan', 'dan', 'blingsatan', '']", jokowi planga plongo ribuan kali tuh nbegitu jokowi menyebut sembrono kelojotan blingsatan 
10/23/2022 9:49,Twitter for iPhone,,1.58412e+18,MWar,in,0,0,285,6728,254,b'@valosenadya1 kasih tau jokowi dong. itukan gubernur terpilih dari petugas partai',b' kasih tau jokowi dong. itukan gubernur terpilih dari petugas partai', kasih tau jokowi dong itukan gubernur terpilih dari petugas partai ,"['', 'kasih', 'tau', 'jokowi', 'dong', 'itukan', 'gubernur', 'terpilih', 'dari', 'petugas', 'partai', '']", kasih tau jokowi itukan gubernur terpilih petugas partai 
10/23/2022 9:49,Twitter for Android,Afghanistan,1.58412e+18,Irjen Rambo,in,0,0,7,400,29,"b'@darkanamelia @luky_chan @husinshihab @bayumaruto4 @jokowi contoh prinsipnya bikin sumur resapan?pakai toa saat banjir?\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\nsoal prinsip boleh2 aja,harus malah.tapi tentu harus pintar agar prinsip yg dipegang berada dijalan yg bnr.kl msh goblok tapi ga mau dengar kata orang krn prinsip,wah bahaya itu.yg jd korban rakyat kecil\xf0\x9f\x99\x84\xf0\x9f\x99\x84\xf0\x9f\x99\x84'","b'     contoh prinsipnya bikin sumur resapan?pakai toa saat banjir?\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\nsoal prinsip boleh2 aja,harus malah.tapi tentu harus pintar agar prinsip yg dipegang berada dijalan yg bnr.kl msh goblok tapi ga mau dengar kata orang krn prinsip,wah bahaya itu.yg jd korban rakyat kecil\xf0\x9f\x99\x84\xf0\x9f\x99\x84\xf0\x9f\x99\x84'", contoh prinsipnya bikin sumur resapan pakai toa saat banjir nsoal prinsip boleh aja harus malah tapi tentu harus pintar agar prinsip dipegang berada dijalan bnr msh goblok tapi mau dengar kata orang krn prinsip wah bahaya itu korban rakyat kecil ,"['', 'contoh', 'prinsipnya', 'bikin', 'sumur', 'resapan', 'pakai', 'toa', 'saat', 'banjir', 'nsoal', 'prinsip', 'boleh', 'aja', 'harus', 'malah', 'tapi', 'tentu', 'harus', 'pintar', 'agar', 'prinsip', 'dipegang', 'berada', 'dijalan', 'bnr', 'msh', 'goblok', 'tapi', 'mau', 'dengar', 'kata', 'orang', 'krn', 'prinsip', 'wah', 'bahaya', 'itu', 'korban', 'rakyat', 'kecil', '']", contoh prinsipnya bikin sumur resapan pakai toa banjir nsoal prinsip aja pintar prinsip dipegang dijalan bnr msh goblok dengar orang krn prinsip bahaya korban rakyat 
10/23/2022 9:49,Twitter for iPhone,"medan, north sumatra",1.58412e+18,Yulvando,in,0,0,226,7716,320,"b'@iwanpiliang7 @jokowi saya mengikuti bang iwan sejak 2010 dan banyak tau apa yg beliau perbuat utk beliau sehingga menjadi pemimpin, semoga perteman bang iwan dgn pemimpin ini tetap berjalan walau sdh tdk menjabat lagi ... aamiin'","b'  saya mengikuti bang iwan sejak 2010 dan banyak tau apa yg beliau perbuat utk beliau sehingga menjadi pemimpin, semoga perteman bang iwan dgn pemimpin ini tetap berjalan walau sdh tdk menjabat lagi ... aamiin'", saya mengikuti bang iwan sejak dan banyak tau apa beliau perbuat utk beliau sehingga menjadi pemimpin semoga perteman bang iwan dgn pemimpin ini tetap berjalan walau sdh tdk menjabat lagi aamiin ,"['', 'saya', 'mengikuti', 'bang', 'iwan', 'sejak', 'dan', 'banyak', 'tau', 'apa', 'beliau', 'perbuat', 'utk', 'beliau', 'sehingga', 'menjadi', 'pemimpin', 'semoga', 'perteman', 'bang', 'iwan', 'dgn', 'pemimpin', 'ini', 'tetap', 'berjalan', 'walau', 'sdh', 'tdk', 'menjabat', 'lagi', 'aamiin', '']", mengikuti bang iwan tau beliau perbuat utk beliau pemimpin semoga perteman bang iwan dgn pemimpin berjalan sdh tdk menjabat aamiin 
10/23/2022 9:49,Twitter for Android,"Province of Moscow, Russia",1.58412e+18,A.D.C,in,0,0,182,3513,210,"b'@nahprojectteam happy birthday @nahprojectteam sukses untuk kalian, wishnya semoga brandnya laris manis dan segera keluarin produk terbaik ya. target kedepannya yg pake sepatu jangan pak jokowi aja, bisa lah pak putin atau joe biden juga pake \xf0\x9f\xa4\xa9\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5'","b' happy birthday  sukses untuk kalian, wishnya semoga brandnya laris manis dan segera keluarin produk terbaik ya. target kedepannya yg pake sepatu jangan pak jokowi aja, bisa lah pak putin atau joe biden juga pake \xf0\x9f\xa4\xa9\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5'", happy birthday sukses untuk kalian wishnya semoga brandnya laris manis dan segera keluarin produk terbaik target kedepannya pake sepatu jangan pak jokowi aja bisa lah pak putin atau joe biden juga pake ,"['', 'happy', 'birthday', 'sukses', 'untuk', 'kalian', 'wishnya', 'semoga', 'brandnya', 'laris', 'manis', 'dan', 'segera', 'keluarin', 'produk', 'terbaik', 'target', 'kedepannya', 'pake', 'sepatu', 'jangan', 'pak', 'jokowi', 'aja', 'bisa', 'lah', 'pak', 'putin', 'atau', 'joe', 'biden', 'juga', 'pake', '']", happy birthday sukses wishnya semoga brandnya laris manis keluarin produk terbaik target kedepannya pake sepatu jokowi aja putin joe biden pake 
10/23/2022 9:49,Twitter Web App,Banda Aceh,1.58412e+18,cloverhand,in,0,0,876,1830,830,"b'@fakhruddin_ms @donadam68 wah, kalo ini beneran... \nkpu berarti yang melakukan pelanggaran berat, karena meloloskan orang yang sama sekali ga qualified.. \xf0\x9f\x98\xad\nmungkin selama ini bukan salah jokowi (karena dia memang ga mampu brada di level itu), tapi org2 yang meloloskannya hingga dia berada di ri 1...'","b'  wah, kalo ini beneran... \nkpu berarti yang melakukan pelanggaran berat, karena meloloskan orang yang sama sekali ga qualified.. \xf0\x9f\x98\xad\nmungkin selama ini bukan salah jokowi (karena dia memang ga mampu brada di level itu), tapi org2 yang meloloskannya hingga dia berada di ri 1...'", wah kalo ini beneran nkpu berarti yang melakukan pelanggaran berat karena meloloskan orang yang sama sekali qualified xad nmungkin selama ini bukan salah jokowi karena dia memang mampu brada level itu tapi org yang meloloskannya hingga dia berada ,"['', 'wah', 'kalo', 'ini', 'beneran', 'nkpu', 'berarti', 'yang', 'melakukan', 'pelanggaran', 'berat', 'karena', 'meloloskan', 'orang', 'yang', 'sama', 'sekali', 'qualified', 'xad', 'nmungkin', 'selama', 'ini', 'bukan', 'salah', 'jokowi', 'karena', 'dia', 'memang', 'mampu', 'brada', 'level', 'itu', 'tapi', 'org', 'yang', 'meloloskannya', 'hingga', 'dia', 'berada', '']", kalo beneran nkpu pelanggaran berat meloloskan orang qualified xad nmungkin salah jokowi brada level org meloloskannya 
10/23/2022 9:49,Twitter for Android,,1.58412e+18,Ganevzi,in,0,0,39,2604,52,b'@abu_waras @nasdem @jokowi gak penting',b'   gak penting', gak penting ,"['', 'gak', 'penting', '']", gak 
10/23/2022 9:49,Twitter for Android,,1.58412e+18,Aiman_Judakusumah ðŸ‡®ðŸ‡©,in,0,0,7468,74944,7172,b'@caul_tanjung terus @faisalbasri yg pintar itu jasanya buat negara apa? \n\xf0\x9f\x98\x82\n\n@jokowi @erickthohir @kspgoid @prastow @oposisicerdas',b' terus  yg pintar itu jasanya buat negara apa? \n\xf0\x9f\x98\x82\n\n    ', terus pintar itu jasanya buat negara apa ,"['', 'terus', 'pintar', 'itu', 'jasanya', 'buat', 'negara', 'apa', '']", pintar jasanya negara 
10/23/2022 9:49,Twitter for Android,,1.58412e+18,Rzq,in,0,0,81,1128,325,b'@jokowi zaman sekarang tantanganya hutang',b' zaman sekarang tantanganya hutang', zaman sekarang tantanganya hutang ,"['', 'zaman', 'sekarang', 'tantanganya', 'hutang', '']", zaman tantanganya hutang 
10/23/2022 9:49,Twitter for Android,,1.58412e+18,Harley,in,0,0,20,27,65,"b'banyak keberhasilan presiden jokowi dalam menangani masalah di indonesia , salah satunya covid-19\n\n#jokowipresidenku\n#pembangunanuntukrakyat\n#presidenjokowihebat\n#jokowimembangunnegeri\n#jokowimajubersamaindonesia\n#nkrimajubersamajokowi\nbengkulu https://t.co/ljbl21qcg2'","b'banyak keberhasilan presiden jokowi dalam menangani masalah di indonesia , salah satunya covid-19\n\n#jokowipresidenku\n#pembangunanuntukrakyat\n#presidenjokowihebat\n#jokowimembangunnegeri\n#jokowimajubersamaindonesia\n#nkrimajubersamajokowi\nbengkulu https://t.co/ljbl21qcg2'", banyak keberhasilan presiden jokowi dalam menangani masalah indonesia salah satunya covid jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi nbengkulu ,"['', 'banyak', 'keberhasilan', 'presiden', 'jokowi', 'dalam', 'menangani', 'masalah', 'indonesia', 'salah', 'satunya', 'covid', 'jokowipresidenku', 'pembangunanuntukrakyat', 'presidenjokowihebat', 'jokowimembangunnegeri', 'jokowimajubersamaindonesia', 'nkrimajubersamajokowi', 'nbengkulu', '']", keberhasilan presiden jokowi menangani indonesia salah satunya covid jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi nbengkulu 
10/23/2022 9:49,Twitter for Android, Jabar Indonesia ,1.58412e+18,ðŸ‡®ðŸ‡©BARAðŸ‡®ðŸ‡©,in,0,0,5025,5861,5167,b'@diti44668265 @hulk_selluhijau @eireneeunomia justru itu yg sya tunggu pengn tau komentar dri org yg benci jokowi. \xf0\x9f\x98\x84',b'   justru itu yg sya tunggu pengn tau komentar dri org yg benci jokowi. \xf0\x9f\x98\x84', justru itu sya tunggu pengn tau komentar dri org benci jokowi ,"['', 'justru', 'itu', 'sya', 'tunggu', 'pengn', 'tau', 'komentar', 'dri', 'org', 'benci', 'jokowi', '']", sya tunggu pengn tau komentar dri org benci jokowi 
10/23/2022 9:49,twittbot.net,"Jakarta, Indonesia",1.58412e+18,FADLIDZON (Youtube: Fadlidzon Official),in,0,0,80,81815,8,"b'sebagaimana #gusdur, presiden jokowi termasuk salah satu tokoh toleransi indonesia. kepada para pemimpin agama, beliau menyampaikan pesan kedamaian, persatuan dan pembangunan bangsa. \nhttps://t.co/weaytyul7d'","b'sebagaimana #gusdur, presiden jokowi termasuk salah satu tokoh toleransi indonesia. kepada para pemimpin agama, beliau menyampaikan pesan kedamaian, persatuan dan pembangunan bangsa. \nhttps://t.co/weaytyul7d'", sebagaimana gusdur presiden jokowi termasuk salah satu tokoh toleransi indonesia kepada para pemimpin agama beliau menyampaikan pesan kedamaian persatuan dan pembangunan bangsa ,"['', 'sebagaimana', 'gusdur', 'presiden', 'jokowi', 'termasuk', 'salah', 'satu', 'tokoh', 'toleransi', 'indonesia', 'kepada', 'para', 'pemimpin', 'agama', 'beliau', 'menyampaikan', 'pesan', 'kedamaian', 'persatuan', 'dan', 'pembangunan', 'bangsa', '']", gusdur presiden jokowi salah tokoh toleransi indonesia pemimpin agama beliau pesan kedamaian persatuan pembangunan bangsa 
10/23/2022 9:49,Twitter for Android,"Sumatera Barat, Indonesia",1.58412e+18,Ade Surya Iskandar,in,0,0,242,3335,54,"b'@heritanjung13 @nasdem @jokowi ya dilihat saja pergerakannya, counter statement suara anjlok 9.04 dari 2019 harusnya bisa dibantahkan toh? sisanya 2024 nanti dilihat saja manuver2 lainnya'","b'   ya dilihat saja pergerakannya, counter statement suara anjlok 9.04 dari 2019 harusnya bisa dibantahkan toh? sisanya 2024 nanti dilihat saja manuver2 lainnya'", dilihat saja pergerakannya counter statement suara anjlok dari harusnya bisa dibantahkan toh sisanya nanti dilihat saja manuver lainnya ,"['', 'dilihat', 'saja', 'pergerakannya', 'counter', 'statement', 'suara', 'anjlok', 'dari', 'harusnya', 'bisa', 'dibantahkan', 'toh', 'sisanya', 'nanti', 'dilihat', 'saja', 'manuver', 'lainnya', '']", pergerakannya counter statement suara anjlok dibantahkan sisanya manuver 
10/23/2022 9:49,Twitter for Android,"ÃœT: -6.448347,106.809876",1.58412e+18,Ahmed,in,0,0,279,17265,526,"b'@alwizar69 @relawananies siapa yg ngusung jokowi pertama di tahun 2014? bukan pdip, tapi nasdem. he he.\n\nbtw, saya nyoblos dari tahun 1992. maaf ya.'","b'  siapa yg ngusung jokowi pertama di tahun 2014? bukan pdip, tapi nasdem. he he.\n\nbtw, saya nyoblos dari tahun 1992. maaf ya.'", siapa ngusung jokowi pertama tahun bukan pdip tapi nasdem nbtw saya nyoblos dari tahun maaf ,"['', 'siapa', 'ngusung', 'jokowi', 'pertama', 'tahun', 'bukan', 'pdip', 'tapi', 'nasdem', 'nbtw', 'saya', 'nyoblos', 'dari', 'tahun', 'maaf', '']", ngusung jokowi pdip nasdem nbtw nyoblos maaf 
